id,eta_logka_SAEM,eta_logV_SAEM,eta_logCl_SAEM,eta_logka_mean,eta_logV_mean,eta_logCl_mean,eta_logka_mode,eta_logV_mode,eta_logCl_mode,eta_logka_sd,eta_logV_sd,eta_logCl_sd
41,-0.119995,-0.0267154,0.304651,-0.115162,-0.0316676,0.303518,-0.136366,-0.034722,0.30518,0.137004,0.0571105,0.0375857
42,0.00116269,0.361283,0.119155,-0.0337933,0.349471,0.108968,-0.0302833,0.354253,0.114609,0.211861,0.066514,0.0367284
43,0.499569,0.0231718,0.225641,0.493923,0.0239251,0.226487,0.464384,0.0146628,0.223724,0.143721,0.0496499,0.034299
44,-0.477008,-0.463027,-0.309274,-0.54629,-0.485722,-0.320099,-0.54013,-0.483458,-0.316672,0.14543,0.0593272,0.0326914
45,-0.0493696,0.105027,0.207835,-0.0877842,0.0772918,0.195257,-0.106005,0.0739022,0.195201,0.168991,0.0619434,0.0370456
46,-0.0653308,-0.147163,0.0482952,-0.0414345,-0.137725,0.0545148,-0.0527495,-0.143214,0.054385,0.15018,0.053536,0.0361603
47,-0.0208346,-0.0183315,0.474869,0.0140793,-0.00341181,0.486193,-0.0138905,-0.0134786,0.481193,0.132876,0.0470444,0.0348493
48,0.031561,-0.194267,0.452251,0.0608011,-0.183056,0.459148,0.060623,-0.178727,0.465232,0.122559,0.0455092,0.0339293
49,0.216317,-0.160946,0.258543,0.231491,-0.15578,0.262247,0.213726,-0.152573,0.265559,0.136442,0.0520676,0.0348606
50,-0.382983,0.0457048,0.193561,-0.385194,0.0485805,0.196927,-0.374501,0.052534,0.202147,0.172053,0.0625403,0.035889
51,0.29611,0.029791,-0.301076,0.241834,0.0238241,-0.305295,0.249092,0.0229411,-0.300736,0.202599,0.0637944,0.0321802
52,0.0650357,0.0734438,0.245228,0.0457812,0.0691495,0.243899,0.035387,0.0690394,0.247123,0.163088,0.0581179,0.0372176
53,-0.10756,0.18134,-0.106414,-0.129723,0.164683,-0.11788,-0.139001,0.160564,-0.114408,0.208055,0.0738549,0.0345062
54,-0.271862,0.504267,-0.214496,-0.255883,0.511569,-0.215545,-0.260639,0.504407,-0.214453,0.2583,0.0762086,0.0342543
55,0.351943,-0.0812197,-0.193279,0.342181,-0.0765883,-0.185432,0.306525,-0.0900545,-0.187404,0.212087,0.0717153,0.0355993
56,0.508678,-0.227289,0.253689,0.456402,-0.244945,0.237729,0.425194,-0.256823,0.231951,0.134824,0.0446249,0.0327188
57,-0.564379,0.0932167,-0.309467,-0.560908,0.108115,-0.309162,-0.572543,0.0989153,-0.306901,0.264564,0.0717727,0.032559
58,0.325025,-0.313244,-0.22157,0.322848,-0.317278,-0.222794,0.315498,-0.312164,-0.218108,0.174058,0.0534349,0.0339823
59,-0.113712,-0.323933,0.489681,-0.121145,-0.322184,0.492751,-0.142429,-0.324031,0.492901,0.102924,0.0432418,0.0328016
60,-0.115438,0.160977,0.184411,-0.060999,0.174273,0.187871,-0.0711349,0.172869,0.191373,0.173086,0.0629023,0.0359748
61,0.0736781,0.00143554,0.270483,0.0832292,0.0120934,0.279658,0.0718684,0.00776848,0.278067,0.149708,0.05024,0.0342048
62,-0.433042,-0.372643,0.0677362,-0.419212,-0.371698,0.0682827,-0.431812,-0.375983,0.0675219,0.118866,0.0476195,0.0315833
63,0.24802,-0.250137,-0.286153,0.282127,-0.245087,-0.283578,0.279078,-0.246566,-0.280705,0.15784,0.0503316,0.0314834
64,0.189323,0.326768,0.143587,0.134998,0.327399,0.144441,0.0938625,0.316189,0.140724,0.187502,0.0524476,0.0315692
65,0.0213611,0.228064,0.0127845,0.0156918,0.234005,0.0165485,-0.0262359,0.223492,0.0152233,0.20961,0.066707,0.0346447
66,0.0903223,0.100913,-0.205023,0.0318779,0.080408,-0.215525,0.0273254,0.07847,-0.209556,0.281711,0.0838727,0.0398274
67,-0.14923,-0.133201,0.0392686,-0.173773,-0.144613,0.0304209,-0.18851,-0.15054,0.0309866,0.164557,0.0645002,0.0380142
68,0.567262,0.0612839,0.18785,0.571106,0.0592364,0.187118,0.545836,0.0538024,0.186171,0.171859,0.0493946,0.0338684
69,-0.436237,0.00389307,-0.0774552,-0.476705,-0.00641461,-0.0839164,-0.473749,-0.00447891,-0.0786568,0.189717,0.0730212,0.0375176
70,0.180946,-0.193939,-0.175026,0.202813,-0.189246,-0.174424,0.17938,-0.193741,-0.172959,0.163062,0.0525172,0.0326324
71,-0.493505,-0.0381747,0.499133,-0.509251,-0.0461138,0.493146,-0.51508,-0.0433958,0.497799,0.134878,0.0628837,0.0400029
72,-0.0138564,0.0380664,-0.0497272,0.0264732,0.0483946,-0.045677,0.0086225,0.0466511,-0.0421971,0.168749,0.0596438,0.0349615
73,0.154527,0.19792,0.21374,0.176995,0.203973,0.217287,0.162958,0.196586,0.217906,0.17361,0.0572201,0.0360956
74,-0.422973,-0.272658,-0.435526,-0.426669,-0.270382,-0.43186,-0.447311,-0.280713,-0.433508,0.181205,0.0646723,0.0335501
75,0.161824,0.198305,-0.317314,0.201439,0.201766,-0.311826,0.177537,0.192318,-0.311799,0.230758,0.0714821,0.0343377
76,-0.135593,-0.203232,0.372773,-0.0954008,-0.181139,0.387566,-0.119306,-0.188864,0.384982,0.123656,0.0490356,0.0357386
77,0.241365,-0.333831,-0.368987,0.203531,-0.35016,-0.382202,0.185116,-0.354041,-0.378604,0.175658,0.0567174,0.0334703
78,-0.171606,0.125698,-0.338912,-0.17337,0.115676,-0.341613,-0.208034,0.105198,-0.341605,0.220181,0.0681098,0.0320161
79,0.484931,0.122106,0.0143178,0.427615,0.117304,0.00566886,0.414336,0.111974,0.00534304,0.180683,0.0511537,0.0333336
80,-0.00512507,0.0897315,-0.39449,0.0283587,0.108964,-0.385423,-0.00949076,0.0949021,-0.38793,0.259196,0.0771961,0.0348215
81,0.277459,0.0046396,-0.364148,0.321133,0.020612,-0.359612,0.298339,0.0158741,-0.355936,0.233915,0.061003,0.0317919
82,0.176587,0.23088,-0.299527,0.188106,0.236213,-0.300988,0.163475,0.222137,-0.302297,0.257531,0.0745867,0.0348193
83,-0.0103398,0.280725,0.0611006,-0.0359581,0.26526,0.0557009,-0.0420968,0.265506,0.0590273,0.195612,0.0695725,0.0358787
84,0.341383,0.295631,-0.241789,0.31933,0.287177,-0.244548,0.309495,0.28538,-0.240121,0.22546,0.0662485,0.0327292
85,0.406938,-0.20872,0.231325,0.405627,-0.203476,0.235792,0.387843,-0.207208,0.236515,0.137132,0.0501066,0.0358465
86,0.169058,-0.132677,0.047365,0.162368,-0.146706,0.0388157,0.151767,-0.143953,0.0434064,0.150915,0.0535338,0.0366183
87,-0.26669,-0.333841,-0.167036,-0.258852,-0.326996,-0.165695,-0.268912,-0.329928,-0.164384,0.165426,0.0659541,0.0389407
88,0.520248,0.247636,-0.17046,0.465114,0.244457,-0.170534,0.442756,0.236156,-0.169928,0.215869,0.0611834,0.0325942
89,-0.46447,0.472688,-0.0260124,-0.490228,0.470346,-0.0267413,-0.496459,0.466496,-0.0235174,0.223365,0.0735342,0.032992
90,0.0220005,0.426291,0.512426,0.0194866,0.422771,0.512538,-0.0118579,0.412857,0.507863,0.163,0.0591908,0.0381315
91,-0.00643302,-0.163765,0.0504569,0.0214288,-0.149118,0.0561839,0.0183611,-0.147193,0.0612328,0.160064,0.0577332,0.0364843
92,-0.339922,-0.343063,0.225495,-0.363375,-0.351714,0.22123,-0.390592,-0.361303,0.217738,0.120446,0.0522657,0.0360731
93,0.134875,-0.00612016,-0.0109057,0.131815,-0.0116919,-0.0138162,0.13505,-0.0104772,-0.00903006,0.177218,0.0581598,0.0335491
94,-0.210179,0.849394,0.187595,-0.177701,0.846373,0.186034,-0.189807,0.837944,0.190037,0.250226,0.078432,0.0324729
95,0.575661,-0.213239,-0.425643,0.522516,-0.22903,-0.434023,0.526423,-0.225114,-0.428624,0.189105,0.0527491,0.0314935
96,-0.105295,0.161217,-0.121462,-0.0703205,0.172907,-0.117462,-0.0908983,0.166747,-0.115117,0.216342,0.0643078,0.0316447
97,0.243355,0.200597,-0.0569788,0.202057,0.183887,-0.0668546,0.214667,0.187531,-0.0602806,0.216026,0.0654554,0.0359788
98,0.169989,0.164019,0.414582,0.0914327,0.136739,0.397472,0.104906,0.145219,0.405719,0.161371,0.0701605,0.0435673
99,-0.22476,-0.279349,0.247628,-0.230832,-0.296001,0.237211,-0.26066,-0.305588,0.234328,0.133257,0.0606418,0.039157
100,-0.0965159,-0.369735,0.141114,-0.124338,-0.388922,0.128269,-0.131959,-0.383885,0.134844,0.137608,0.0489322,0.034085
101,-0.233713,0.107239,0.0482793,-0.248351,0.107332,0.0490428,-0.271769,0.0986478,0.0486627,0.188551,0.0612077,0.0339582
102,-0.249189,0.154946,-0.204024,-0.227744,0.159564,-0.201628,-0.24229,0.158139,-0.199811,0.222277,0.0852568,0.0361755
103,0.801317,-0.456539,-0.0548559,0.814399,-0.454503,-0.0560279,0.774858,-0.463468,-0.0599918,0.157927,0.0438945,0.0331539
104,0.046158,-0.10487,-0.497156,0.0386692,-0.113813,-0.50187,0.0297798,-0.118326,-0.497028,0.215184,0.0692334,0.0320743
105,-0.563718,-0.441115,0.268105,-0.59057,-0.445157,0.265335,-0.601087,-0.449767,0.263669,0.108834,0.0476934,0.0349163
106,-0.357818,0.166877,-0.117161,-0.384745,0.150846,-0.126161,-0.375021,0.148782,-0.120117,0.193821,0.0716773,0.0331616
107,0.307382,-0.043145,-0.435984,0.360544,-0.0407911,-0.435368,0.332885,-0.0416463,-0.430656,0.216993,0.0689602,0.0348249
108,-0.0277231,0.404792,0.244749,-0.0039435,0.415988,0.253677,-0.0223914,0.415273,0.256455,0.195835,0.070822,0.0374624
109,0.430751,-0.431571,0.387311,0.433707,-0.45164,0.374163,0.39251,-0.458409,0.373663,0.144259,0.0553743,0.0363104
110,0.0544529,-0.396611,-0.14164,0.0730317,-0.394356,-0.139015,0.0418778,-0.3986,-0.138576,0.153514,0.0586272,0.0355478
111,0.519266,0.109751,-0.662034,0.535017,0.0897432,-0.66626,0.516104,0.0855623,-0.660546,0.228318,0.0653287,0.0312919
112,-0.409525,-0.0138119,0.102802,-0.416044,-0.0115329,0.10677,-0.423626,-0.0126641,0.109416,0.15784,0.0604286,0.0366891
113,-0.0395347,0.0753656,0.270611,-0.0569251,0.0609649,0.259139,-0.0664937,0.0603721,0.262808,0.164996,0.0586381,0.0349052
114,-0.104347,0.459981,-0.0193289,-0.0523196,0.469057,-0.0127088,-0.0748038,0.461299,-0.0111729,0.231345,0.0689775,0.033507
115,-0.285191,-0.158404,0.00580506,-0.269886,-0.156923,0.00983301,-0.291762,-0.160271,0.0112757,0.149312,0.0559296,0.034672
116,0.0948538,-0.226791,-0.319735,0.0703938,-0.227767,-0.318836,0.0706236,-0.230049,-0.316346,0.182388,0.0604773,0.0350985
117,-0.0204922,-0.286869,-0.178126,0.000267542,-0.276989,-0.172286,-0.0122401,-0.278394,-0.169674,0.153586,0.0479589,0.0328178
118,0.451537,0.126587,0.00421844,0.412139,0.110858,-0.00543999,0.413202,0.113219,0.00125672,0.205208,0.064615,0.0364199
119,-0.200428,-0.196869,0.205719,-0.140179,-0.171481,0.22246,-0.17709,-0.185704,0.215346,0.144496,0.0556027,0.0368901
120,-0.238406,-0.114189,0.349783,-0.227126,-0.109717,0.350615,-0.235193,-0.113938,0.350251,0.133462,0.0552834,0.0368693
