id,eta_logka_SAEM,eta_logV_SAEM,eta_logCl_SAEM,eta_logka_mean,eta_logV_mean,eta_logCl_mean,eta_logka_mode,eta_logV_mode,eta_logCl_mode,eta_logka_sd,eta_logV_sd,eta_logCl_sd
21,-0.339268,0.254753,0.19981,-0.331398,0.249053,0.197819,-0.343793,0.252394,0.201728,0.114777,0.0485802,0.0291615
22,-0.176325,0.355195,-0.0243058,-0.183987,0.346692,-0.030875,-0.186092,0.348178,-0.0277792,0.110639,0.0490269,0.0263543
23,-0.0377389,-0.136026,-0.238808,-0.0656009,-0.151343,-0.243844,-0.0654891,-0.14712,-0.240335,0.110401,0.0517594,0.0330784
24,-0.608278,0.101553,-0.572234,-0.560793,0.122225,-0.565573,-0.568211,0.118078,-0.563007,0.123438,0.0638286,0.026717
25,-0.244124,0.368834,0.0302309,-0.238895,0.384841,0.0335846,-0.259566,0.379309,0.0339789,0.120916,0.0509396,0.0283064
26,0.357845,0.11899,0.392432,0.355581,0.116379,0.390766,0.360251,0.121293,0.396345,0.118027,0.0386856,0.0283741
27,0.0100087,0.20806,0.233,0.00666963,0.202092,0.227748,0.00667548,0.204469,0.232856,0.119524,0.0475951,0.0305753
28,0.0537586,0.600889,0.251498,0.0728593,0.615503,0.257804,0.0455767,0.605072,0.257112,0.138684,0.047571,0.0260567
29,0.348626,-0.388916,0.0825655,0.307409,-0.412625,0.0656683,0.302463,-0.414123,0.0666896,0.0981948,0.0343769,0.0258979
30,-0.113009,0.306345,0.0356874,-0.104083,0.310391,0.0400873,-0.140659,0.294198,0.0343218,0.104799,0.0442497,0.026092
31,-0.0529297,0.268239,-0.266644,-0.00595152,0.283555,-0.265469,-0.0263216,0.285246,-0.260333,0.151734,0.0599695,0.0283892
32,0.102365,-0.349688,-0.333305,0.0422099,-0.369873,-0.341194,0.0367868,-0.371272,-0.340695,0.110015,0.0443745,0.0273156
33,0.514061,-0.381988,0.161046,0.510367,-0.390298,0.152146,0.504576,-0.377314,0.163956,0.10916,0.0327035,0.0254748
34,0.240004,0.123634,-0.273975,0.253431,0.124248,-0.272514,0.227621,0.113676,-0.274164,0.134295,0.0473974,0.0271323
35,0.593909,-0.356394,-0.340832,0.582198,-0.347168,-0.337145,0.570094,-0.346429,-0.332925,0.139793,0.0379417,0.0266013
36,0.96884,0.0380527,0.140489,0.931635,0.0291898,0.134514,0.929504,0.0355674,0.139997,0.142388,0.0385925,0.0263344
37,-0.503361,-0.440816,0.245117,-0.481038,-0.419405,0.263697,-0.501089,-0.42906,0.256626,0.0711938,0.0323975,0.0245843
38,-0.0551544,0.15882,-0.0812371,-0.0743706,0.151877,-0.0832601,-0.0996759,0.146955,-0.084475,0.134434,0.0540354,0.0298395
39,-0.23563,0.42635,-0.222999,-0.229226,0.416347,-0.226668,-0.246129,0.412216,-0.222001,0.143156,0.0571868,0.0271958
40,-0.00474092,0.261524,0.0326665,-0.0328299,0.256488,0.027816,-0.0338373,0.258726,0.0313396,0.127982,0.0451768,0.0278197
41,-0.0799516,0.0204281,0.330931,-0.0612705,0.0287689,0.335188,-0.104108,0.00987801,0.324139,0.104621,0.041696,0.0283798
42,0.237844,0.313048,0.103099,0.217503,0.3125,0.101956,0.207386,0.309653,0.101683,0.126859,0.0456746,0.0270283
43,0.315183,-0.02452,0.173516,0.288529,-0.0422535,0.160591,0.287112,-0.0409101,0.163069,0.126917,0.0467962,0.0332987
44,-0.321049,-0.414728,-0.306379,-0.336619,-0.409274,-0.300833,-0.362719,-0.421071,-0.305462,0.0990725,0.0476742,0.0295501
45,0.0734193,0.104372,0.198085,0.038801,0.080643,0.184872,0.0392617,0.087087,0.191239,0.119167,0.0501225,0.0320545
46,-0.0801233,-0.118326,0.0664189,-0.0389781,-0.0948307,0.0828884,-0.0606593,-0.103643,0.0789948,0.108394,0.0378267,0.0263948
47,-0.00692443,-0.0218444,0.472551,-0.00382412,-0.0145786,0.479348,-0.00383029,-0.0232873,0.472542,0.104552,0.0408561,0.0296796
48,0.140337,-0.181342,0.455894,0.173536,-0.16127,0.469607,0.176424,-0.163729,0.469042,0.0880162,0.0291097,0.0219934
49,0.274133,-0.0887226,0.300945,0.279614,-0.0980927,0.293383,0.272087,-0.0922769,0.299208,0.10844,0.0380359,0.0274438
50,-0.463815,0.0228388,0.190586,-0.455926,0.0299052,0.197945,-0.474029,0.0218035,0.193882,0.10547,0.0424378,0.0257187
51,0.246852,0.0493653,-0.292864,0.238946,0.0474819,-0.294058,0.239429,0.0495499,-0.289445,0.131443,0.050045,0.0267199
52,-0.0892128,0.0517957,0.242578,-0.0838556,0.0571643,0.247256,-0.0882134,0.0542479,0.247484,0.111407,0.0405153,0.0275915
53,-0.12207,0.119997,-0.119868,-0.132085,0.121614,-0.121095,-0.146514,0.118913,-0.120817,0.117064,0.0481149,0.0259428
54,0.0116444,0.637557,-0.157695,0.0441151,0.650375,-0.15536,0.0210412,0.641171,-0.155041,0.13746,0.0603848,0.0296096
55,0.507612,-0.0740355,-0.169946,0.513672,-0.0662752,-0.16271,0.485913,-0.0735056,-0.164428,0.154375,0.0513668,0.0282104
56,0.445143,-0.187352,0.251594,0.443713,-0.190174,0.24598,0.434935,-0.196269,0.242718,0.10489,0.0385143,0.0299123
57,-0.230469,0.125907,-0.292773,-0.209192,0.143632,-0.292115,-0.239926,0.133202,-0.292012,0.119897,0.0505325,0.0253891
58,0.279041,-0.415033,-0.28201,0.284659,-0.413701,-0.280172,0.288272,-0.403818,-0.273251,0.111443,0.0465797,0.0322327
59,-0.253776,-0.350888,0.462009,-0.265139,-0.35777,0.457445,-0.27276,-0.359691,0.456205,0.0727594,0.0374685,0.0291321
60,0.0337596,0.132703,0.164958,0.0631343,0.130958,0.16266,0.0498037,0.130885,0.164568,0.104036,0.0436043,0.0274326
61,0.161878,0.00276458,0.281768,0.201581,0.0238851,0.29584,0.182082,0.0160139,0.290725,0.103789,0.0342278,0.0252863
62,-0.364049,-0.314258,0.103778,-0.399608,-0.339588,0.0875064,-0.401722,-0.331247,0.0951016,0.0871537,0.0397365,0.0284205
63,0.133584,-0.19467,-0.258717,0.148963,-0.193193,-0.257294,0.145375,-0.193346,-0.255435,0.122987,0.0442523,0.0282932
64,0.297933,0.318662,0.143792,0.271424,0.312565,0.142272,0.270194,0.318206,0.147486,0.127891,0.0409315,0.0274935
65,0.0753143,0.260121,0.0506434,0.103512,0.265699,0.0525791,0.0757495,0.259071,0.0524953,0.131232,0.0477722,0.0285597
66,0.0745713,0.12433,-0.205254,0.0521105,0.114332,-0.211468,0.0563985,0.120321,-0.207124,0.137531,0.0542455,0.0293223
67,-0.303939,-0.203506,0.000415808,-0.311955,-0.200823,0.000112548,-0.3294,-0.206661,-0.000386603,0.105942,0.0441593,0.027493
68,0.417128,0.0116859,0.146818,0.401585,-0.00156915,0.138472,0.387851,-0.00143615,0.139799,0.119002,0.0387096,0.0278931
69,-0.437844,-0.00622432,-0.0733181,-0.453805,-0.0126537,-0.0781114,-0.462203,-0.0138004,-0.0758395,0.108784,0.0506445,0.0298873
70,0.035873,-0.241464,-0.187892,0.0588683,-0.229355,-0.182414,0.0444761,-0.233064,-0.182129,0.117694,0.0388776,0.0272049
71,-0.591528,-0.0390719,0.506572,-0.62346,-0.0591342,0.492545,-0.62154,-0.050527,0.500383,0.097999,0.0496987,0.0341269
72,-0.182031,0.0115594,-0.0554877,-0.113019,0.0443589,-0.0369751,-0.15311,0.0285553,-0.0434589,0.109986,0.0436219,0.0258509
73,0.170246,0.151516,0.209042,0.189814,0.152213,0.209039,0.189464,0.155588,0.212861,0.122346,0.0476202,0.0326457
74,-0.389022,-0.241927,-0.436087,-0.403829,-0.24556,-0.43583,-0.403512,-0.245508,-0.4347,0.108928,0.0489485,0.0281834
75,0.154137,0.167935,-0.330507,0.169129,0.164364,-0.329605,0.154846,0.165025,-0.328766,0.13077,0.0541104,0.0266452
76,-0.143027,-0.249219,0.341787,-0.117229,-0.230833,0.354542,-0.115503,-0.234255,0.352434,0.0892625,0.0373826,0.0284146
77,0.294901,-0.31458,-0.349994,0.292498,-0.307665,-0.349219,0.266467,-0.318292,-0.351424,0.120218,0.0435295,0.0273466
78,-0.506434,0.0850203,-0.360031,-0.50976,0.0778654,-0.362732,-0.538922,0.0716513,-0.364127,0.110719,0.0450023,0.0234643
79,0.471282,0.14569,0.00286032,0.461197,0.144482,0.000472959,0.455289,0.141029,0.000353253,0.125106,0.0420155,0.027027
80,-0.0495239,0.114149,-0.390027,-0.0282777,0.123072,-0.384368,-0.0541163,0.116635,-0.384826,0.136917,0.0562757,0.0269689
81,0.253255,0.00783146,-0.354254,0.308276,0.0325787,-0.341839,0.276175,0.023664,-0.343135,0.142886,0.0460186,0.0268416
82,0.182726,0.23336,-0.28907,0.182407,0.22946,-0.288201,0.16068,0.223102,-0.291724,0.141423,0.0511498,0.0270994
83,0.138715,0.250284,0.0625794,0.175943,0.262322,0.0721958,0.132585,0.256095,0.0697268,0.133628,0.0488732,0.0283988
84,0.144014,0.302819,-0.240568,0.118134,0.288691,-0.245153,0.122272,0.295231,-0.24062,0.136618,0.0503398,0.0279333
85,0.348412,-0.190497,0.245286,0.336174,-0.20252,0.236791,0.340795,-0.194291,0.244447,0.110783,0.0375145,0.0282597
86,0.0307931,-0.202126,0.00661246,0.007705,-0.22542,-0.00712515,0.00782538,-0.21583,0.00108144,0.1078,0.0395799,0.0285998
87,-0.471713,-0.389098,-0.19729,-0.451158,-0.378506,-0.194257,-0.465381,-0.381746,-0.194157,0.110191,0.0459844,0.0292716
88,0.466434,0.232739,-0.167477,0.458942,0.239409,-0.163973,0.449125,0.23912,-0.162134,0.139089,0.0418548,0.0258016
89,0.129275,0.516969,0.00899085,0.104392,0.504471,0.00378221,0.0944269,0.501147,0.00659227,0.122404,0.0539975,0.03085
90,-0.00404896,0.364273,0.48597,-0.024143,0.355672,0.479389,-0.0245754,0.357592,0.482117,0.113151,0.0472281,0.0311798
91,0.433558,-0.124963,0.0896426,0.414473,-0.129702,0.0844791,0.410849,-0.126552,0.0882047,0.114118,0.0462972,0.0311807
92,-0.279373,-0.347237,0.21866,-0.290173,-0.353864,0.213752,-0.316832,-0.363551,0.208932,0.0802036,0.0409845,0.0292473
93,-0.088233,-0.0343993,-0.00783977,-0.0413497,-0.0225407,-0.00256728,-0.0684512,-0.0300322,-0.00366877,0.119451,0.0462315,0.0309032
94,-0.219822,0.882365,0.192516,-0.20588,0.881191,0.188085,-0.220078,0.881887,0.192469,0.130611,0.0585058,0.0273956
95,0.516466,-0.188903,-0.416951,0.502121,-0.19655,-0.421943,0.494289,-0.193492,-0.417411,0.136585,0.045669,0.02976
96,-0.134878,0.207388,-0.116424,-0.155292,0.195013,-0.124605,-0.167505,0.19399,-0.121425,0.11782,0.0438147,0.0252251
97,0.179068,0.142966,-0.0966367,0.18124,0.150486,-0.0912859,0.172891,0.149911,-0.0890833,0.133408,0.0517171,0.0296144
98,0.146927,0.163088,0.423109,0.136203,0.156442,0.418169,0.136729,0.166729,0.426594,0.119859,0.0501096,0.0340498
99,-0.250076,-0.32354,0.20768,-0.244173,-0.319647,0.210591,-0.25935,-0.330081,0.204189,0.0868436,0.0417983,0.0299734
100,-0.13902,-0.358832,0.117238,-0.153329,-0.367156,0.109219,-0.154221,-0.364363,0.112917,0.103063,0.0397703,0.0297228
101,-0.302016,0.0975238,0.0509157,-0.343589,0.0921312,0.0483677,-0.337699,0.0953796,0.0535622,0.109383,0.0461366,0.0270118
102,-0.173006,0.233638,-0.175715,-0.181153,0.228754,-0.178104,-0.191844,0.232432,-0.176026,0.116384,0.0535535,0.0285641
103,0.854865,-0.442004,-0.0654286,0.853415,-0.44134,-0.0656709,0.834399,-0.440109,-0.0629239,0.121128,0.0329232,0.0244733
104,-0.0110072,-0.0841418,-0.482176,-0.0430961,-0.0999063,-0.487727,-0.049179,-0.100037,-0.486368,0.130983,0.0499326,0.0251351
105,-0.543662,-0.432433,0.270086,-0.562333,-0.442522,0.261958,-0.564845,-0.443515,0.262461,0.0759473,0.0409039,0.0311809
106,-0.355913,0.0594043,-0.147976,-0.369876,0.0539446,-0.15147,-0.362006,0.0595142,-0.144728,0.108346,0.0524162,0.0288696
107,0.0348611,0.0595536,-0.412537,0.0632786,0.0564486,-0.412692,0.0408198,0.0561243,-0.412349,0.153064,0.0573687,0.0291143
108,0.0116554,0.415253,0.255626,0.0251149,0.420269,0.257977,0.00979496,0.418443,0.258439,0.114641,0.0459986,0.0270894
109,0.364393,-0.424623,0.366424,0.331177,-0.446272,0.354454,0.31453,-0.447981,0.353865,0.103026,0.0423291,0.0296247
110,0.0786493,-0.326808,-0.119372,0.0819576,-0.327495,-0.118103,0.0586139,-0.330121,-0.117794,0.117377,0.0464455,0.0313347
111,0.338942,0.0993694,-0.644572,0.365026,0.0959848,-0.646068,0.344926,0.0923382,-0.643878,0.146667,0.0473392,0.0264455
112,-0.571938,-0.0143374,0.110721,-0.622742,-0.0362096,0.1008,-0.617338,-0.0309957,0.105254,0.108155,0.0483645,0.0308305
113,0.0437938,0.0143258,0.241094,0.043206,0.00295008,0.233749,0.0284719,0.00523132,0.237243,0.128377,0.0482229,0.0316543
114,-0.266773,0.391658,-0.0350141,-0.249322,0.399479,-0.0282603,-0.272435,0.394215,-0.0294462,0.133773,0.0536337,0.0278195
115,-0.455991,-0.269882,-0.0620727,-0.436542,-0.258766,-0.0524901,-0.460829,-0.265421,-0.054609,0.0995574,0.0464362,0.0301648
116,0.0511907,-0.29883,-0.362163,0.0332554,-0.299244,-0.362376,0.0355624,-0.295376,-0.357969,0.120285,0.048213,0.0286288
117,0.0595372,-0.23518,-0.146253,0.073812,-0.229101,-0.141615,0.0609504,-0.232134,-0.141236,0.118985,0.0411612,0.0256109
118,0.54999,0.120183,-0.00876362,0.551139,0.119484,-0.0079809,0.543681,0.122303,-0.00492639,0.147036,0.0465531,0.0284763
119,-0.121625,-0.208471,0.193989,-0.110236,-0.198598,0.200999,-0.12057,-0.195992,0.203673,0.0978659,0.0412283,0.0298607
120,-0.250554,-0.112029,0.333373,-0.265936,-0.127461,0.321397,-0.279014,-0.133635,0.31887,0.0995673,0.042064,0.0303233
